ClienteID,NombreCliente,TipoCliente,Provincia,Ciudad,Segmento,FechaAlta
79,Cliente 79,Empresa Agro,Santiago del Estero,Quimilí,Gran productor,2023-04-02
80,Cliente 80,Empresa Agro,Santa fé,Rafaela,Mediano productor,2023-04-14
81,Cliente 81,Empresa Agro,Santiago del Estero,Bandera,contratista,2023-07-01
82,Cliente 82,Productor,Córdoba,Villa María,Mediano productor,2023-07-13
83,Cliente 83,Contratista,Cordoba,Río Cuarto,Contratista,2023-01-31
84,Cliente 84,Contratista,Sal Ta,Metán,Mediano productor,2023-06-26
85,Cliente 85,Contratista,Santiago del Estero,Quimilí,Mediano productor,2023-04-30
86,Cliente 86,Empresa Agro,Córdoba,Río Cuarto,Contratista,2023-04-07
87,Cliente 87,Empresa Agro,Córdoba,Río Cuarto,Gran productor,2023-03-24
88,Cliente 88,Productor,Córdoba,Villa María,Mediano productor,2023-06-18
89,Cliente 89,Productor,cordoba,Río Cuarto,Contratista,2023.07.29
90,Cliente 90,Productor,salta,Metán,Gran productor,2023-09-15
91,Cliente 91,Contratista,Salta,Metán,Contratista,2023-07-30
92,Cliente 92,Empresa Agro,Salta,Metán,Contratista,2023-08-06
93,Cliente 93,Contratista,sgo del estero,Quimilí,Mediano productor,2023-03-18
94,Cliente 94,Contratista,Córdoba,Villa María,Gran productor,2023.12.31
95,Cliente 95,Empresa Agro,Córdoba,Río Cuarto,Gran productor,2023-11-11
96,Cliente 96,Empresa Agro,Salta,Metán,Contratista,s/d
97,Cliente 97,Contratista,Salta,Metán,Mediano productor,2023-04-14
98,Cliente 98,Empresa Agro,Cordoba,Villa María,Contratista,2023-12-22
99,Cliente 99,Empresa Agro,Córdoba,Río Cuarto,Mediano productor,s/d
100,Cliente 100,Contratista,Córdoba,Río Cuarto,Pequeño productor,2023-01-19
101,Cliente 101,Productor,sgo del estero,Bandera,Gran productor,2023-02-09
102,Cliente 102,Productor,Córdoba,Villa María,Mediano productor,2023-10-21
103,Cliente 103,Empresa Agro,Salta,Metán,Mediano productor,2023-06-08
104,Cliente 104,Contratista,Córdoba,Villa María,Mediano productor,2023.05.31
105,Cliente 105,Productor,salta,Metán,Pequeño productor,s/d
106,Cliente 106,Productor,Sta Fe,Rosario,Pequeño productor,2023-11-24
107,Cliente 107,Productor,Santa Fe,Rosario,Pequeño productor,2023-06-09
108,Cliente 108,Productor,Sta Fe,Rafaela,Gran productor,2023-12-07
109,Cliente 109,Empresa Agro,Córdoba,Villa María,Gran productor,2023.08.19
110,Cliente 110,Empresa Agro,Córdoba,Río Cuarto,,2023-09-11
111,Cliente 111,Empresa Agro,Santa fé,Rafaela,Mediano productor,2023-10-06
112,Cliente 112,Contratista,Sta Fe,Rafaela,Pequeño productor,2023-08-26
113,Cliente 113,Contratista,Chaco,Villa Ángela,Pequeño productor,2023-05-18
114,Cliente 114,Productor,cordoba,Río Cuarto,Gran productor,2023.04.30
115,Cliente 115,Empresa Agro,Salta,Metán,Contratista,2023-10-04
116,Cliente 116,Empresa Agro,Chaco,Resistencia,Pequeño productor,2023-07-12
117,Cliente 117,Contratista,Sta Fe,Rafaela,Pequeño productor,2023.02.11
118,Cliente 118,Productor,Santiago del Estero,Quimilí,Mediano productor,2023-12-07
119,Cliente 119,Empresa Agro,chaco,Charata,Pequeño productor,2023-09-22
120,Cliente 120,Productor,Salta,Güemes,,2023.08.31
121,Cliente 121,Empresa Agro,Santa Fe,Rafaela,Contratista,2023-01-08
122,Cliente 122,Empresa Agro,Córdoba,Río Cuarto,Contratista,2023-04-05
123,Cliente 123,Empresa Agro,Santiago del Estero,Quimilí,Gran productor,2023-07-31
124,Cliente 124,Contratista,Chaco,Villa Ángela,Contratista,2023-09-21
125,Cliente 125,Productor,Santiago del Estero,Bandera,Mediano productor,s/d
126,Cliente 126,Contratista,Santa Fe,Rosario,Gran productor,2023-01-12
127,Cliente 127,Productor,Chaco,Villa Ángela,Pequeño productor,2023-07-20
128,Cliente 128,Productor,cordoba,Río Cuarto,Pequeño productor,2023-08-31
129,Cliente 129,Productor,Salta,Güemes,,2023-04-01
130,Cliente 130,Productor,Córdoba,Río Cuarto,Mediano productor,2023.06.26
131,Cliente 131,Empresa Agro,Santa fé,Rosario,Mediano productor,2023-11-29
132,Cliente 132,Empresa Agro,Sal Ta,Metán,Pequeño productor,2023-01-09
133,Cliente 133,Contratista,Santa Fe,Rafaela,Mediano productor,2023-02-08
134,Cliente 134,Empresa Agro,sgo del estero,Bandera,Mediano productor,2023-08-30
135,Cliente 135,Empresa Agro,Chaco,Resistencia,Pequeño productor,2023-11-16
136,Cliente 136,Productor,Salta,Metán,Pequeño productor,s/d
137,Cliente 137,Empresa Agro,Chaco,Resistencia,Contratista,2023-05-10
138,Cliente 138,Empresa Agro,Salta,Metán,Mediano productor,2023-08-30
139,Cliente 139,Contratista,Santa Fe,Rosario,Mediano productor,2023-09-26
140,Cliente 140,Productor,Córdoba,Río Cuarto,Gran productor,2023-02-27
141,Cliente 141,Productor,Chaco,Charata,Contratista,2023-10-06
142,Cliente 142,Empresa Agro,Santiago del Estero,Quimilí,Gran productor,2023-04-26
143,Cliente 143,Empresa Agro,Chcao,Resistencia,Gran productor,2023-05-24
144,Cliente 144,Productor,Córdoba,Río Cuarto,Gran productor,2023-05-06
145,Cliente 145,Empresa Agro,Chaco,Charata,contratista,2023-07-19
146,Cliente 146,Contratista,santa fe,Rafaela,Mediano productor,2023-09-02
147,Cliente 147,Productor,Salta,Metán,Pequeño productor,2023-11-03
148,Cliente 148,Empresa Agro,Sal Ta,Metán,Gran productor,2023-04-24
149,Cliente 149,Productor,salta,Güemes,Contratista,2023-02-23
150,Cliente 150,Productor,Córdoba,Río Cuarto,Gran productor,2023-10-01
151,Cliente 151,Productor,Santiago del Estero,Bandera,Gran productor,2023-07-06
152,Cliente 152,Contratista,Córdoba,Villa María,Gran productor,2023-10-13
153,Cliente 153,Contratista,CHAco,Resistencia,Contratista,s/d
154,Cliente 154,Productor,Chaco,Villa Ángela,Pequeño productor,2023-01-02
155,Cliente 155,Empresa Agro,Santiago del Estero,Quimilí,Contratista,2023-01-11
156,Cliente 156,Productor,Córdoba,Río Cuarto,Pequeño productor,2023-08-11
157,Cliente 157,Contratista,Santiago del Estero,Bandera,Gran productor,2023-12-28
158,Cliente 158,Productor,Santa Fe,Rosario,Pequeño productor,2023-10-07
159,Cliente 159,Contratista,Sta Fe,Rafaela,Pequeño productor,s/d
160,Cliente 160,Productor,Salta,Metán,Pequeño productor,s/d
161,Cliente 161,Empresa Agro,Sal Ta,Metán,Gran productor,2023-04-06
162,Cliente 162,Productor,Córdoba,Río Cuarto,,2023-11-15
163,Cliente 163,Contratista,Chaco,Charata,Gran productor,2023-11-13
164,Cliente 164,Contratista,Santiago del Estero,Quimilí,Contratista,2023-10-25
165,Cliente 165,Contratista,Chaco,Charata,Pequeño productor,2023-10-03
166,Cliente 166,Productor,CHAco,Resistencia,Mediano productor,2023-01-28
167,Cliente 167,Productor,Chaco,Villa Ángela,Contratista,2023-03-19
168,Cliente 168,Empresa Agro,Chcao,Resistencia,Contratista,2023-12-15
169,Cliente 169,Productor,Santiago del Estero,Bandera,Mediano productor,2023-12-04
170,Cliente 170,Contratista,Santa Fe,Rafaela,Gran productor,2023-06-22
171,Cliente 171,Empresa Agro,Chcao,Villa Ángela,Pequeño productor,2023-01-17
172,Cliente 172,Empresa Agro,Chaco,Charata,Gran productor,2023-11-09
173,Cliente 173,Contratista,Santa Fe,Rafaela,Mediano productor,2023-03-13
174,Cliente 174,Contratista,Chaco,Resistencia,Gran productor,2023-05-30
175,Cliente 175,Empresa Agro,Santa fé,Rafaela,,s/d
176,Cliente 176,Contratista,CBA,Villa María,Gran productor,2023-03-28
177,Cliente 177,Contratista,Salta,Metán,Contratista,2023-11-21
178,Cliente 178,Productor,Santa fé,Rafaela,Contratista,s/d
179,Cliente 179,Contratista,salta,Güemes,Mediano productor,2023.11.04
180,Cliente 180,Productor,CHAco,Resistencia,Mediano productor,2023-11-19
181,Cliente 181,Productor,SANTIAGO,Bandera,Gran productor,2023-03-22
182,Cliente 182,Productor,CHAco,Resistencia,Gran productor,2023-05-24
183,Cliente 183,Empresa Agro,Santa fé,Rosario,Mediano productor,2023-02-25
184,Cliente 184,Empresa Agro,Sal Ta,Metán,,s/d
185,Cliente 185,Empresa Agro,Santa fé,Rafaela,,2023-04-01
186,Cliente 186,Empresa Agro,Salta,Metán,Gran productor,2023-08-09
187,Cliente 187,Empresa Agro,Santa Fe,Rosario,Prod.,2023-04-16
188,Cliente 188,Contratista,Salta,Güemes,Gran productor,2023-04-19
189,Cliente 189,Empresa Agro,Salta,Metán,Mediano productor,s/d
190,Cliente 190,Empresa Agro,Córdoba,Río Cuarto,Contratista,2023-07-12
191,Cliente 191,Empresa Agro,Santa Fe,Rosario,Gran productor,s/d
192,Cliente 192,Empresa Agro,Chaco,Charata,Mediano productor,2023-06-17
193,Cliente 193,Productor,Córdoba,Villa María,Mediano productor,2023-09-16
194,Cliente 194,Empresa Agro,Santa fé,Rafaela,Contratista,2023-02-26
195,Cliente 195,Empresa Agro,Santiago del Estero,Bandera,contratista,2023-05-16
196,Cliente 196,Contratista,Santa Fe,Rafaela,Pequeño productor,2023.03.03
197,Cliente 197,Empresa Agro,Santiago del Estero,Quimilí,Contratista,2023-09-21
198,Cliente 198,Contratista,Chaco,Resistencia,Gran productor,2023-10-14
199,Cliente 199,Productor,Chaco,Villa Ángela,contratista,2023.01.14
200,Cliente 200,Contratista,Córdoba,Villa María,Mediano productor,2023-02-06
201,Cliente 201,Empresa Agro,Santa Fe,Rosario,Pequeño productor,2023-04-15
202,Cliente 202,Empresa Agro,Santiago del Estero,Bandera,Mediano productor,2023.08.17
203,Cliente 203,Contratista,Cordoba,Río Cuarto,Pequeño productor,2023-02-08
204,Cliente 204,Contratista,Salta,Güemes,Contratista,2023.07.27
205,Cliente 205,Contratista,salta,Metán,Mediano productor,2023.07.24
206,Cliente 206,Productor,Chaco,Villa Ángela,Contratista,2023-04-30
207,Cliente 207,Contratista,Córdoba,Río Cuarto,Gran productor,s/d
208,Cliente 208,Contratista,Santa Fe,Rafaela,Mediano productor,2023-06-25
209,Cliente 209,Contratista,CHAco,Villa Ángela,Mediano productor,2023-07-19
210,Cliente 210,Empresa Agro,Santiago del Estero,Bandera,contratista,2023-08-22
211,Cliente 211,Productor,Santa fé,Rafaela,Mediano productor,2023.09.19
212,Cliente 212,Contratista,Sal Ta,Güemes,Contratista,2023-06-23
213,Cliente 213,Empresa Agro,Santiago del Estero,Quimilí,Mediano productor,2023-11-06
214,Cliente 214,Contratista,Santa Fe,Rafaela,Pequeño productor,2023-04-13
215,Cliente 215,Empresa Agro,CHAco,Charata,Pequeño productor,2023-06-03
216,Cliente 216,Productor,Sta Fe,Rosario,Pequeño productor,2023-06-03
217,Cliente 217,Empresa Agro,Chaco,Resistencia,Mediano productor,2023-10-13
218,Cliente 218,Productor,Santiago del Estero,Bandera,Mediano productor,2023-10-21
219,Cliente 219,Contratista,Santa Fe,Rosario,Mediano productor,2023-04-01
220,Cliente 220,Empresa Agro,SANTIAGO,Bandera,Pequeño productor,s/d
221,Cliente 221,Productor,Chaco ,Charata,Mediano productor,2023.02.02
222,Cliente 222,Contratista,Santiago del Estero,Bandera,Pequeño productor,2023-01-24
223,Cliente 223,Productor,chaco,Villa Ángela,Contratista,s/d
224,Cliente 224,Productor,Chaco,Charata,Mediano productor,s/d
225,Cliente 225,Empresa Agro,Chcao,Charata,Contratista,2023.03.28
226,Cliente 226,Contratista,Santa Fe,Rosario,Gran productor,2023-11-28
227,Cliente 227,Productor,Sgo.,Bandera,contratista,2023-07-06
228,Cliente 228,Productor,salta,Güemes,Contratista,2023-02-04
229,Cliente 229,Productor,Sgo.,Quimilí,Pequeño productor,2023-12-12
230,Cliente 230,Productor,Chaco,Villa Ángela,Mediano productor,2023.06.10
231,Cliente 231,Productor,salta,Güemes,Contratista,2023.03.21
232,Cliente 232,Contratista,SANTIAGO,Quimilí,,2023-02-21
233,Cliente 233,Productor,Salta,Metán,Mediano productor,2023-06-05
234,Cliente 234,Productor,salta,Güemes,Contratista,2023-09-13
235,Cliente 235,Empresa Agro,Chaco,Charata,Pequeño productor,2023-10-08
236,Cliente 236,Productor,Chaco,Resistencia,contratista,2023.06.18
237,Cliente 237,Productor,Sgo.,Bandera,Mediano productor,2023.07.10
238,Cliente 238,Contratista,Santa Fe,Rafaela,Pequeño productor,2023-05-28
239,Cliente 239,Contratista,Santa Fe,Rosario,Gran productor,2023-04-16
240,Cliente 240,Empresa Agro,Santa fé,Rafaela,Contratista,s/d
241,Cliente 241,Empresa Agro,CBA,Villa María,Contratista,2023-03-27
242,Cliente 242,Empresa Agro,Chaco,Resistencia,Contratista,2023-07-03
243,Cliente 243,Contratista,Salta,Metán,Contratista,s/d
244,Cliente 244,Contratista,SANTIAGO,Quimilí,Mediano productor,2023-11-14
245,Cliente 245,Empresa Agro,CHAco,Charata,Pequeño productor,2023-03-12
246,Cliente 246,Contratista,Chaco,Villa Ángela,Contratista,2023.08.25
247,Cliente 247,Contratista,Salta,Metán,Contratista,2023.05.29
248,Cliente 248,Productor,Córdoba,Villa María,Mediano productor,2023-07-23
249,Cliente 249,Empresa Agro,santa fe,Rafaela,Pequeño productor,2023-06-09
250,Cliente 250,Empresa Agro,Salta,Güemes,Pequeño productor,2023.11.19
251,Cliente 251,Productor,Córdoba,Villa María,Mediano productor,2023-08-21
252,Cliente 252,Contratista,Santa Fe,Rafaela,Mediano productor,2023-04-24
253,Cliente 253,Empresa Agro,Córdoba,Río Cuarto,Gran productor,2023-08-17
254,Cliente 254,Empresa Agro,Chcao,Resistencia,Prod.,2023-05-30
255,Cliente 255,Productor,Santa Fe,Rosario,Pequeño productor,2023-08-28
256,Cliente 256,Productor,Salta,Metán,Mediano productor,2023.08.18
257,Cliente 257,Contratista,Santa Fe,Rafaela,Pequeño productor,2023.06.09
258,Cliente 258,Empresa Agro,Santa Fe,Rafaela,Pequeño productor,2023-01-03
259,Cliente 259,Productor,Córdoba,Villa María,Prod.,2023-05-02
260,Cliente 260,Contratista,Cordoba,Río Cuarto,Mediano productor,s/d
261,Cliente 261,Productor,Córdoba,Río Cuarto,Pequeño productor,2023-06-25
262,Cliente 262,Contratista,Santiago del Estero,Quimilí,Gran productor,2023-01-15
263,Cliente 263,Contratista,Córdoba,Río Cuarto,Gran productor,2023-08-17
264,Cliente 264,Contratista,Sal Ta,Güemes,Mediano productor,2023-12-14
265,Cliente 265,Productor,Sta Fe,Rafaela,Pequeño productor,2023-03-22
266,Cliente 266,Contratista,Salta,Güemes,Mediano productor,s/d
267,Cliente 267,Contratista,Salta,Güemes,Gran productor,2023-05-21
268,Cliente 268,Empresa Agro,Córdoba,Río Cuarto,Gran productor,2023-05-21
269,Cliente 269,Productor,Sgo.,Bandera,contratista,2023-10-21
270,Cliente 270,Empresa Agro,Chaco,Resistencia,Mediano productor,s/d
271,Cliente 271,Contratista,Santa Fe,Rafaela,Mediano productor,s/d
272,Cliente 272,Contratista,Sta Fe,Rosario,Mediano productor,2023-01-16
273,Cliente 273,Empresa Agro,Santa Fe,Rosario,Contratista,s/d
274,Cliente 274,Productor,Córdoba,Villa María,Mediano productor,2023.10.31
275,Cliente 275,Empresa Agro,Sal Ta,Metán,Gran productor,s/d
276,Cliente 276,Contratista,Santa Fe,Rosario,Mediano productor,2023-06-05
277,Cliente 277,Productor,Chaco,Charata,Contratista,2023-01-23
278,Cliente 278,Empresa Agro,Cordoba,Villa María,Contratista,2023-06-10
279,Cliente 279,Productor,Chaco,Resistencia,Pequeño productor,2023.03.30
280,Cliente 280,Contratista,SANTIAGO,Bandera,Pequeño productor,2023-04-15
281,Cliente 281,Contratista,Santa Fe,Rafaela,Mediano productor,2023.05.01
282,Cliente 282,Empresa Agro,Chaco,Resistencia,Gran productor,2023-02-02
283,Cliente 283,Contratista,Santa Fe,Rosario,Pequeño productor,2023-01-01
284,Cliente 284,Contratista,Sal Ta,Güemes,Mediano productor,s/d
285,Cliente 285,Empresa Agro,Santa Fe,Rosario,Contratista,2023-07-14
286,Cliente 286,Empresa Agro,Chaco,Charata,Mediano productor,2023-07-16
287,Cliente 287,Contratista,Sal Ta,Güemes,Mediano productor,2023-05-19
288,Cliente 288,Contratista,Santiago del Estero,Bandera,Gran productor,2023-05-25
289,Cliente 289,Contratista,Chcao,Charata,Mediano productor,2023-05-07
290,Cliente 290,Productor,Salta,Güemes,Mediano productor,2023-01-15
291,Cliente 291,Productor,Córdoba,Río Cuarto,Gran productor,2023-05-23
292,Cliente 292,Productor,Salta,Güemes,Mediano productor,2023-02-23
293,Cliente 293,Empresa Agro,Chaco,Charata,Pequeño productor,2023-11-05
294,Cliente 294,Empresa Agro,Córdoba,Río Cuarto,Gran productor,2023-12-24
295,Cliente 295,Productor,santa fe,Rafaela,Gran productor,2023-05-29
296,Cliente 296,Empresa Agro,Santiago del Estero,Bandera,Gran productor,2023.09.30
297,Cliente 297,Empresa Agro,Sta Fe,Rosario,contratista,2023-09-18
298,Cliente 298,Productor,Salta,Metán,Pequeño productor,2023-01-27
299,Cliente 299,Contratista,Santiago del Estero,Bandera,Mediano productor,2023-07-02
300,Cliente 300,Empresa Agro,Chaco,Charata,Pequeño productor,s/d
301,Cliente 301,Contratista,Salta,Güemes,Mediano productor,2023-06-29
302,Cliente 302,Productor,Santiago del Estero,Quimilí,Contratista,2023-12-31
303,Cliente 303,Contratista,Santa fé,Rosario,Mediano productor,2023-05-04
304,Cliente 304,Productor,Córdoba,Río Cuarto,Pequeño productor,2023-08-26
305,Cliente 305,Contratista,Santa Fe,Rafaela,Pequeño productor,2023-03-18
306,Cliente 306,Productor,Córdoba,Villa María,Prod.,2023-06-07
307,Cliente 307,Contratista,Sal Ta,Güemes,Contratista,2023-12-31
308,Cliente 308,Productor,Sgo.,Bandera,Mediano productor,2023-12-16
309,Cliente 309,Productor,Santiago del Estero,Bandera,Pequeño productor,2023-07-16
310,Cliente 310,Contratista,Salta,Güemes,Contratista,2023-11-15
311,Cliente 311,Contratista,Córdoba,Villa María,Mediano productor,2023-11-08
312,Cliente 312,Empresa Agro,Chcao,Villa Ángela,Pequeño productor,2023-02-04
313,Cliente 313,Empresa Agro,Santa Fe,Rosario,Contratista,2023-02-10
314,Cliente 314,Productor,salta,Metán,Pequeño productor,2023-12-03
315,Cliente 315,Contratista,Santa Fe,Rosario,Mediano productor,2023-05-04
316,Cliente 316,Productor,Salta,Güemes,Mediano productor,2023-02-12
317,Cliente 317,Empresa Agro,Córdoba,Río Cuarto,Pequeño productor,s/d
318,Cliente 318,Empresa Agro,Chaco,Charata,Pequeño productor,2023-03-12
319,Cliente 319,Productor,Santa Fe,Rosario,Mediano productor,s/d
320,Cliente 320,Productor,Sgo.,Bandera,contratista,2023-10-16
321,Cliente 321,Empresa Agro,Chaco,Resistencia,Gran productor,2023-01-25
322,Cliente 322,Productor,salta,Metán,Gran productor,2023-11-07
323,Cliente 323,Empresa Agro,Santa Fe,Rosario,Pequeño productor,2023-09-30
324,Cliente 324,Contratista,santa fe,Rosario,Contratista,2023-04-04
325,Cliente 325,Empresa Agro,Santiago del Estero,Quimilí,,2023.07.28
326,Cliente 326,Empresa Agro,SANTIAGO,Bandera,Pequeño productor,2023-06-04
327,Cliente 327,Empresa Agro,Santiago del Estero,Quimilí,Pequeño productor,2023-12-19
328,Cliente 328,Contratista,Chaco,Charata,Contratista,2023-01-29
329,Cliente 329,Contratista,Córdoba,Villa María,Mediano productor,2023-08-16
330,Cliente 330,Productor,salta,Güemes,Gran productor,2023-01-12
331,Cliente 331,Productor,salta,Metán,Gran productor,2023.03.03
332,Cliente 332,Empresa Agro,Santa Fe,Rosario,Contratista,2023-08-11
333,Cliente 333,Contratista,Chaco,Charata,Pequeño productor,2023-04-25
334,Cliente 334,Contratista,Córdoba,Villa María,Gran productor,2023-08-24
335,Cliente 335,Empresa Agro,Santa Fe,Rosario,Contratista,2023-03-04
336,Cliente 336,Contratista,salta,Metán,Gran productor,2023-05-18
337,Cliente 337,Productor,Santiago del Estero,Bandera,Pequeño productor,2023-04-22
338,Cliente 338,Productor,Córdoba,Río Cuarto,Mediano productor,2023-11-19
339,Cliente 339,Empresa Agro,Córdoba,Villa María,Pequeño productor,2023-05-11
340,Cliente 340,Productor,Chaco,Charata,Gran productor,2023-09-15
341,Cliente 341,Empresa Agro,Córdoba,Río Cuarto,Gran productor,2023-06-26
342,Cliente 342,Empresa Agro,Santa Fe,Rafaela,Contratista,2023-10-22
343,Cliente 343,Contratista,Córdoba,Villa María,Gran productor,2023-10-24
344,Cliente 344,Empresa Agro,Salta,Güemes,Gran productor,2023-02-17
345,Cliente 345,Empresa Agro,Santiago del Estero,Bandera,contratista,2023-03-16
346,Cliente 346,Contratista,Córdoba,Villa María,Pequeño productor,2023-08-07
347,Cliente 347,Contratista,Córdoba,Villa María,Contratista,2023.12.06
348,Cliente 348,Contratista,Chaco,Resistencia,Mediano productor,2023-03-28
349,Cliente 349,Productor,Salta,Metán,Contratista,2023-01-21
350,Cliente 350,Contratista,Chaco,Charata,,2023-04-03
351,Cliente 351,Empresa Agro,sgo del estero,Bandera,Mediano productor,s/d
352,Cliente 352,Contratista,CHAco,Villa Ángela,Mediano productor,2023-12-02
353,Cliente 353,Productor,cordoba,Villa María,Gran productor,2023.05.22
354,Cliente 354,Productor,sgo del estero,Bandera,Gran productor,2023-06-12
