VentaID,FechaVenta,ClienteID,EmpleadoID,SucursalID,ProductoID,Cantidad,PrecioUnitario,ImporteTotal,CanalVenta,MedioPago,Moneda,Year,Month
20,2023-11-04,338,15,1,1215,4,3694240,14776960,Online,Tarjeta débito,USD,2023,11
21,2024-05-03,662,49,1,1139,1,407550,407550,Campo,Transferencia,USD,2024,5
22,2023-06-03,366,30,1,1134,5,174540,872700,Online,Transferencia,USD,2023,6
23,2023-11-05,396,4,4,1034,3,1726840,5180520,Teléfono,Transferencia,ARS,2023,11
24,2023-11-25,316,49,1,1193,2,2920780,5841560,Campo,Transferencia,USD,2023,11
25,2023-12-20,172,40,4,1062,1,189230,189230,Mostrador,Transferencia,ARS,2023,12
26,2024-11-03,406,43,1,1087,1,177040,177040,Teléfono,Transferencia,USD,2024,11
27,2023-08-08,262,46,4,1210,1,2984830,2984830,Campo,Tarjeta débito,ARS,2023,8
28,2024-01-17,484,9,4,1081,1,4503400,4503400,Mostrador,Efectivo,ARS,2024,1
29,2024-04-11,27,60,3,1230,1,23930,23930,Online,Transferencia,ARS,2024,4
30,2023-02-20,55,27,4,1167,4,1499080,5996320,Campo,Tarjeta crédito,ARS,2023,2
31,2024-04-28,911,49,1,1190,1,223850,223850,Mostrador,Cheque,USD,2024,4
32,2023-07-07,320,9,4,1007,1,196830,196830,Teléfono,Cheque,USD,2023,7
33,2023-03-13,249,13,4,1233,4,72640,290560,Campo,Transferencia,USD,2023,3
34,2024-12-17,273,46,4,1169,2,2107630,4215260,Online,Tarjeta débito,ARS,2024,12
35,2024-12-22,259,60,3,1251,5,46390,231950,Online,Efectivo,USD,2024,12
36,2024-11-09,778,5,1,1168,1,67990,67990,Campo,Cheque,USD,2024,11
37,2023-11-08,191,46,4,1231,1,3732180,3732180,Mostrador,Tarjeta crédito,USD,2023,11
38,2023-04-18,63,15,1,1150,1,143830,143830,Campo,Tarjeta débito,USD,2023,4
39,2024-07-21,857,10,3,1152,5,74230,371150,Mostrador,Transferencia,USD,2024,7
40,2023-12-15,341,49,1,1038,4,277200,1108800,Online,Transferencia,ARS,2023,12
41,2023-05-14,104,57,4,1297,2,108180,216360,Online,Efectivo,ARS,2023,5
42,2023-12-30,393,52,1,1275,4,5741190,22964760,Online,Tarjeta crédito,USD,2023,12
43,2023-02-07,288,47,1,1105,3,5025120,15075360,Online,Efectivo,USD,2023,2
44,2024-12-07,771,60,3,1007,2,355310,710620,Campo,Transferencia,USD,2024,12
45,2023-10-11,161,38,4,1062,5,183770,918850,Campo,Cheque,ARS,2023,10
46,2024-06-27,683,60,3,1016,1,269110,269110,Online,Transferencia,ARS,2024,6
47,2023-11-10,109,19,1,1244,2,358050,716100,Online,Cheque,USD,2023,11
48,2024-01-23,652,5,1,1150,1,297030,297030,Mostrador,Efectivo,USD,2024,1
49,2024-02-21,605,6,4,1142,4,4459670,17838680,Online,Efectivo,ARS,2024,2
50,2023-07-22,103,13,4,1116,2,2342480,4684960,Mostrador,Tarjeta crédito,USD,2023,7
51,2024-12-23,226,6,4,1110,5,4084250,20421250,Mostrador,Efectivo,USD,2024,12
52,2024-10-29,353,34,2,1065,2,23400,46800,Online,Tarjeta crédito,ARS,2024,10
53,2024-12-15,160,27,4,1178,1,3206430,3206430,Mostrador,Tarjeta crédito,USD,2024,12
54,2024-12-03,404,32,1,1194,4,2607250,10429000,Online,Tarjeta débito,USD,2024,12
55,2024-04-17,707,34,2,1109,1,3076860,3076860,Campo,Tarjeta crédito,USD,2024,4
56,2024-12-10,324,8,2,1161,1,293300,293300,Online,Cheque,USD,2024,12
57,2023-04-08,145,48,2,1135,1,3431260,3431260,Mostrador,Tarjeta débito,USD,2023,4
58,2023-08-03,242,4,4,1278,2,4897830,9795660,Online,Transferencia,USD,2023,8
59,2023-02-19,132,34,2,1296,1,5218960,5218960,Online,Transferencia,USD,2023,2
60,2023-11-14,93,30,1,1039,4,1706430,6825720,Teléfono,Tarjeta crédito,USD,2023,11
61,2023-12-01,273,30,1,1169,1,354300,354300,Online,Transferencia,ARS,2023,12
62,2023-10-25,192,5,1,1068,1,2017250,2017250,Campo,Tarjeta crédito,ARS,2023,10
63,2024-11-15,534,58,3,1007,5,52080,260400,Campo,Cheque,ARS,2024,11
64,2023-11-22,194,21,1,1085,2,5928710,11857420,Mostrador,Tarjeta crédito,USD,2023,11
65,2023-11-02,170,49,1,1199,4,244480,977920,Campo,Transferencia,ARS,2023,11
66,2024-02-17,460,42,3,1132,2,243790,487580,Mostrador,Tarjeta débito,USD,2024,2
67,2023-06-04,11,40,4,1076,1,130420,130420,Mostrador,Tarjeta crédito,ARS,2023,6
68,2024-11-07,181,33,4,1250,5,189470,947350,Campo,Tarjeta crédito,USD,2024,11
69,2023-03-23,232,54,2,1048,1,31520,31520,Campo,Transferencia,USD,2023,3
70,2024-12-28,956,33,4,1209,5,221430,1107150,Mostrador,Cheque,USD,2024,12
71,2024-10-26,29,1,4,1084,1,46870,46870,Online,Efectivo,ARS,2024,10
72,2023-08-06,20,36,4,1223,1,3044520,3044520,Mostrador,Tarjeta débito,ARS,2023,8
73,2023-01-07,5,18,3,1253,5,127220,636100,Campo,Transferencia,ARS,2023,1
74,2024-11-11,921,2,1,1031,1,1718480,1718480,Teléfono,Cheque,ARS,2024,11
75,2024-08-15,546,1,4,1201,3,1958150,5874450,Mostrador,Tarjeta crédito,USD,2024,8
76,2024-09-08,140,47,1,1052,1,3791690,3791690,Teléfono,Cheque,ARS,2024,9
77,2024-10-25,28,20,1,1072,1,58550,58550,Campo,Efectivo,ARS,2024,10
78,2023-03-23,98,32,1,1021,1,3205510,3205510,Campo,Transferencia,ARS,2023,3
79,2023-11-23,262,5,1,1016,2,2228320,4456640,Online,Cheque,USD,2023,11
80,2023-05-08,246,25,4,1016,2,350400,700800,Online,Efectivo,USD,2023,5
81,2024-11-24,19,42,3,1175,4,4705650,18822600,Mostrador,Transferencia,USD,2024,11
82,2024-05-15,12,17,3,1110,1,306670,306670,Mostrador,Tarjeta débito,ARS,2024,5
83,2023-11-15,25,50,3,1242,3,60700,182100,Teléfono,Tarjeta débito,USD,2023,11
84,2023-03-11,13,56,2,1078,1,107650,107650,Teléfono,Efectivo,ARS,2023,3
85,2023-11-10,76,19,1,1240,3,57250,171750,Online,Transferencia,USD,2023,11
86,2023-11-14,259,37,3,1037,5,1522790,7613950,Mostrador,Transferencia,ARS,2023,11
87,2024-09-09,24,33,4,1232,1,225410,225410,Mostrador,Cheque,ARS,2024,9
88,2024-05-31,8,16,1,1213,2,1738860,3477720,Campo,Cheque,USD,2024,5
89,2024-12-01,880,33,4,1193,4,317440,1269760,Campo,Tarjeta débito,USD,2024,12
90,2023-12-24,228,16,1,1060,3,173800,521400,Campo,Efectivo,ARS,2023,12
91,2023-05-12,376,32,1,1189,1,329980,329980,Mostrador,Cheque,ARS,2023,5
92,2024-08-22,123,51,1,1267,1,150010,150010,Teléfono,Cheque,USD,2024,8
93,2024-10-13,90,19,1,1126,1,4413220,4413220,Teléfono,Efectivo,ARS,2024,10
94,2024-03-08,813,33,4,1203,3,2420310,7260930,Campo,Tarjeta débito,USD,2024,3
95,2024-10-24,456,4,4,1230,1,2844050,2844050,Mostrador,Transferencia,USD,2024,10
96,2023-12-30,224,20,1,1032,4,5571410,22285640,Mostrador,Transferencia,USD,2023,12
97,2024-01-26,736,11,3,1110,4,92120,368480,Teléfono,Efectivo,ARS,2024,1
98,2023-12-12,257,36,4,1261,4,4289090,17156360,Campo,Cheque,ARS,2023,12
99,2023-01-28,3,32,1,1131,1,406430,406430,Teléfono,Tarjeta débito,ARS,2023,1
100,2023-04-29,321,20,1,1094,3,241430,724290,Campo,Cheque,ARS,2023,4
101,2023-02-04,271,6,4,1104,5,206420,1032100,Teléfono,Cheque,USD,2023,2
102,2024-05-30,818,10,3,1100,1,41880,41880,Campo,Tarjeta débito,USD,2024,5
103,2023-11-11,148,38,4,1285,1,416680,416680,Teléfono,Cheque,USD,2023,11
104,2024-01-10,387,43,1,1068,5,368730,1843650,Campo,Tarjeta crédito,USD,2024,1
105,2024-12-06,701,33,4,1025,2,181360,362720,Teléfono,Tarjeta débito,USD,2024,12
106,2023-10-01,399,20,1,1117,3,5179450,15538350,Teléfono,Efectivo,ARS,2023,10
107,2023-12-07,187,43,1,1199,1,149570,149570,Teléfono,Transferencia,ARS,2023,12
108,2024-10-07,438,28,2,1279,1,66050,66050,Campo,Transferencia,USD,2024,10
109,2023-09-08,188,15,1,1070,1,337550,337550,Campo,Cheque,USD,2023,9
110,2023-03-26,124,35,1,1226,5,45870,229350,Teléfono,Tarjeta crédito,USD,2023,3
111,2023-11-04,37,32,1,1079,3,146850,440550,Mostrador,Cheque,USD,2023,11
112,2023-06-26,149,43,1,1014,1,48890,48890,Teléfono,Tarjeta crédito,ARS,2023,6
113,2024-12-12,106,57,4,1029,1,264130,264130,Campo,Efectivo,ARS,2024,12
114,2024-11-09,615,54,2,1144,1,6077610,6077610,Campo,Efectivo,ARS,2024,11
115,2024-05-26,919,2,1,1298,5,290920,1454600,Online,Tarjeta crédito,ARS,2024,5
116,2024-11-26,889,47,1,1010,1,4274040,4274040,Online,Tarjeta crédito,ARS,2024,11
117,2024-11-08,232,15,1,1047,1,301820,301820,Online,Cheque,USD,2024,11
118,2023-07-24,355,18,3,1260,1,357970,357970,Campo,Transferencia,USD,2023,7
119,2024-12-02,146,5,1,1012,1,5415250,5415250,Teléfono,Efectivo,USD,2024,12
120,2024-02-13,17,36,4,1298,1,128600,128600,Campo,Cheque,USD,2024,2
121,2024-11-09,159,47,1,1226,4,2342920,9371680,Online,Tarjeta crédito,ARS,2024,11
122,2024-12-03,960,47,1,1260,1,4091360,4091360,Teléfono,Tarjeta débito,ARS,2024,12
123,2023-11-12,304,1,4,1084,1,2367220,2367220,Online,Tarjeta débito,USD,2023,11
124,2023-05-01,282,9,4,1007,5,256530,1282650,Mostrador,Tarjeta débito,ARS,2023,5
125,2023-09-08,278,15,1,1007,5,389880,1949400,Online,Transferencia,ARS,2023,9
126,2023-12-12,125,4,4,1006,1,1728100,1728100,Online,Transferencia,USD,2023,12
127,2024-11-12,685,45,2,1247,1,78460,78460,Teléfono,Tarjeta crédito,USD,2024,11
128,2024-11-23,420,40,4,1035,4,138870,555480,Teléfono,Tarjeta débito,USD,2024,11
129,2023-01-08,320,50,3,1175,4,323700,1294800,Online,Tarjeta crédito,USD,2023,1
130,2024-01-13,675,4,4,1065,4,2869790,11479160,Teléfono,Tarjeta crédito,USD,2024,1
131,2023-12-09,203,1,4,1147,1,35120,35120,Campo,Tarjeta crédito,ARS,2023,12
132,2023-09-01,338,47,1,1057,1,372790,372790,Teléfono,Cheque,ARS,2023,9
133,2023-05-12,155,17,3,1193,5,5865940,29329700,Online,Cheque,ARS,2023,5
134,2023-11-17,324,55,2,1013,1,196660,196660,Mostrador,Tarjeta crédito,USD,2023,11
135,2024-12-16,913,52,1,1018,2,2527900,5055800,Campo,Transferencia,USD,2024,12
136,2023-11-13,395,15,1,1246,2,258970,517940,Campo,Tarjeta débito,USD,2023,11
137,2024-01-22,773,5,1,1163,1,1852020,1852020,Online,Transferencia,ARS,2024,1
138,2024-08-11,186,60,3,1298,1,313860,313860,Mostrador,Transferencia,USD,2024,8
139,2023-11-24,377,3,3,1114,4,3068880,12275520,Campo,Cheque,ARS,2023,11
140,2024-12-24,466,8,2,1282,2,3460390,6920780,Online,Efectivo,ARS,2024,12
141,2024-12-21,57,2,1,1233,1,2132270,2132270,Campo,Efectivo,ARS,2024,12
142,2023-10-04,217,48,2,1166,2,333190,666380,Campo,Tarjeta crédito,USD,2023,10
143,2023-12-31,208,4,4,1230,2,95240,190480,Mostrador,Tarjeta crédito,ARS,2023,12
144,2023-11-07,202,14,1,1026,3,353660,1060980,Mostrador,Efectivo,ARS,2023,11
145,2023-11-03,74,17,3,1126,1,40120,40120,Teléfono,Tarjeta crédito,USD,2023,11
146,2023-02-10,85,57,4,1252,5,260850,1304250,Mostrador,Cheque,ARS,2023,2
147,2024-04-30,632,53,4,1281,1,266200,266200,Online,Tarjeta débito,ARS,2024,4
148,2024-01-04,14,45,2,1286,3,162960,488880,Campo,Tarjeta crédito,ARS,2024,1
149,2023-02-26,328,27,4,1283,1,56830,56830,Teléfono,Cheque,USD,2023,2
150,2023-11-01,129,51,1,1139,2,179570,359140,Campo,Tarjeta crédito,ARS,2023,11
151,2024-12-06,912,57,4,1101,1,189370,189370,Online,Transferencia,USD,2024,12
152,2023-09-20,282,19,1,1011,4,279560,1118240,Teléfono,Tarjeta crédito,USD,2023,9
153,2023-06-08,49,47,1,1216,4,5540450,22161800,Teléfono,Tarjeta crédito,ARS,2023,6
154,2023-12-29,359,5,1,1030,3,2412450,7237350,Campo,Transferencia,USD,2023,12
155,2024-12-28,242,57,4,1094,2,6339270,12678540,Mostrador,Tarjeta crédito,USD,2024,12
156,2023-09-23,322,47,1,1116,4,2307500,9230000,Campo,Tarjeta débito,USD,2023,9
157,2024-07-08,53,15,1,1271,1,3911940,3911940,Mostrador,Tarjeta débito,USD,2024,7
158,2024-10-14,777,30,1,1291,3,4269540,12808620,Campo,Tarjeta crédito,USD,2024,10
159,2023-09-18,69,27,4,1039,5,184750,923750,Mostrador,Tarjeta crédito,ARS,2023,9
160,2024-09-07,552,6,4,1024,1,380220,380220,Campo,Efectivo,ARS,2024,9
161,2023-11-25,184,34,2,1264,1,58380,58380,Campo,Transferencia,ARS,2023,11
162,2024-05-25,645,24,3,1043,1,74620,74620,Online,Efectivo,USD,2024,5
163,2024-05-26,56,59,2,1170,1,2207890,2207890,Online,Transferencia,ARS,2024,5
164,2024-02-09,879,21,1,1127,5,82580,412900,Online,Efectivo,ARS,2024,2
165,2023-04-10,255,38,4,1169,1,219240,219240,Online,Cheque,USD,2023,4
166,2024-11-16,5,51,1,1212,1,210710,210710,Teléfono,Tarjeta débito,ARS,2024,11
167,2023-11-12,69,19,1,1026,5,228130,1140650,Online,Tarjeta débito,ARS,2023,11
168,2023-07-24,52,35,1,1180,1,2012510,2012510,Online,Cheque,ARS,2023,7
169,2023-02-14,329,54,2,1150,1,162620,162620,Campo,Tarjeta débito,USD,2023,2
170,2024-04-10,98,55,2,1133,5,348490,1742450,Mostrador,Efectivo,ARS,2024,4
171,2024-07-14,161,22,2,1143,1,411160,411160,Teléfono,Tarjeta débito,USD,2024,7
172,2023-01-19,271,30,1,1164,3,3921540,11764620,Online,Efectivo,ARS,2023,1
173,2024-01-14,577,22,2,1101,3,4625520,13876560,Online,Tarjeta débito,ARS,2024,1
174,2023-09-06,327,43,1,1063,1,2806350,2806350,Online,Tarjeta crédito,ARS,2023,9
175,2024-06-08,919,43,1,1093,1,2218520,2218520,Campo,Efectivo,USD,2024,6
176,2023-07-11,243,51,1,1207,1,342320,342320,Online,Tarjeta crédito,USD,2023,7
177,2024-07-28,504,9,4,1026,1,44970,44970,Teléfono,Tarjeta crédito,USD,2024,7
178,2023-12-01,367,52,1,1072,4,76100,304400,Campo,Tarjeta crédito,USD,2023,12
179,2024-12-14,774,3,3,1060,1,426310,426310,Online,Tarjeta crédito,ARS,2024,12
180,2023-05-31,212,4,4,1029,1,383350,383350,Online,Transferencia,USD,2023,5
181,2023-11-18,154,25,4,1019,1,286080,286080,Teléfono,Tarjeta crédito,ARS,2023,11
182,2023-05-05,234,59,2,1073,3,444610,1333830,Teléfono,Tarjeta crédito,USD,2023,5
183,2024-12-11,652,49,1,1246,5,3178470,15892350,Teléfono,Tarjeta débito,ARS,2024,12
184,2024-11-28,333,43,1,1252,1,218780,218780,Online,Tarjeta débito,USD,2024,11
185,2023-10-10,115,3,3,1119,1,146900,146900,Online,Tarjeta crédito,USD,2023,10
186,2024-06-25,369,56,2,1087,1,154600,154600,Campo,Efectivo,USD,2024,6
187,2024-11-11,333,36,4,1183,1,46470,46470,Mostrador,Tarjeta débito,USD,2024,11
188,2024-03-02,130,33,4,1197,2,117320,234640,Mostrador,Efectivo,USD,2024,3
189,2024-02-03,928,5,1,1244,1,4713520,4713520,Campo,Transferencia,ARS,2024,2
190,2023-09-23,178,49,1,1104,2,3655750,7311500,Online,Efectivo,USD,2023,9
191,2023-04-13,95,10,3,1118,5,2879950,14399750,Mostrador,Cheque,USD,2023,4
192,2024-12-03,317,21,1,1082,2,432350,864700,Mostrador,Transferencia,USD,2024,12
193,2024-12-04,907,43,1,1247,1,107190,107190,Mostrador,Tarjeta crédito,USD,2024,12
194,2024-05-26,101,40,4,1234,3,47830,143490,Online,Tarjeta crédito,ARS,2024,5
195,2023-11-17,196,21,1,1153,1,2056990,2056990,Campo,Efectivo,ARS,2023,11
196,2023-11-20,290,1,4,1272,3,337740,1013220,Mostrador,Tarjeta débito,ARS,2023,11
197,2024-09-05,208,57,4,1035,5,290130,1450650,Mostrador,Cheque,USD,2024,9
198,2024-12-03,607,13,4,1213,1,233530,233530,Online,Tarjeta crédito,ARS,2024,12
199,2024-12-01,473,51,1,1211,1,5707590,5707590,Teléfono,Tarjeta crédito,USD,2024,12
200,2024-11-01,615,35,1,1139,1,3511680,3511680,Mostrador,Transferencia,ARS,2024,11
201,2024-06-05,8,8,2,1189,2,4084250,8168500,Online,Tarjeta crédito,ARS,2024,6
202,2023-04-03,136,2,1,1300,1,266830,266830,Online,Efectivo,USD,2023,4
203,2023-06-27,98,14,1,1252,1,3456990,3456990,Mostrador,Cheque,ARS,2023,6
204,2024-12-04,911,51,1,1150,2,143760,287520,Mostrador,Tarjeta crédito,ARS,2024,12
205,2024-04-27,261,47,1,1143,1,154600,154600,Teléfono,Efectivo,ARS,2024,4
206,2023-01-11,147,14,1,1219,1,108960,108960,Teléfono,Cheque,ARS,2023,1
207,2023-04-22,393,53,4,1082,1,4436590,4436590,Online,Tarjeta débito,ARS,2023,4
208,2024-06-28,697,32,1,1190,1,3439180,3439180,Mostrador,Transferencia,USD,2024,6
209,2023-01-06,232,52,1,1234,1,35410,35410,Campo,Cheque,USD,2023,1
210,2023-06-26,101,29,3,1176,2,183300,366600,Online,Tarjeta crédito,USD,2023,6
211,2024-02-23,147,38,4,1232,1,4724460,4724460,Campo,Transferencia,USD,2024,2
212,2024-07-30,717,2,1,1063,1,1597700,1597700,Campo,Tarjeta débito,ARS,2024,7
213,2024-06-16,507,35,1,1237,2,5335100,10670200,Online,Tarjeta crédito,USD,2024,6
214,2023-09-04,46,10,3,1033,2,331820,663640,Teléfono,Cheque,USD,2023,9
215,2024-08-21,104,36,4,1213,1,6057650,6057650,Online,Tarjeta crédito,ARS,2024,8
216,2023-09-18,336,57,4,1060,1,201570,201570,Mostrador,Tarjeta crédito,ARS,2023,9
217,2023-11-14,222,17,3,1002,3,313430,940290,Teléfono,Cheque,ARS,2023,11
218,2024-09-27,444,30,1,1057,1,3597380,3597380,Teléfono,Tarjeta débito,USD,2024,9
219,2024-06-13,118,34,2,1085,5,264390,1321950,Online,Cheque,ARS,2024,6
220,2024-11-20,517,32,1,1287,2,372790,745580,Campo,Transferencia,ARS,2024,11
221,2024-06-22,929,38,4,1138,1,69610,69610,Campo,Tarjeta débito,USD,2024,6
222,2024-03-16,723,6,4,1279,1,4156370,4156370,Online,Tarjeta crédito,USD,2024,3
223,2023-04-13,55,33,4,1214,1,176180,176180,Campo,Cheque,ARS,2023,4
224,2023-11-25,19,47,1,1239,5,212270,1061350,Campo,Efectivo,ARS,2023,11
225,2023-10-18,88,30,1,1285,4,274530,1098120,Mostrador,Efectivo,ARS,2023,10
226,2023-09-25,247,8,2,1031,1,268610,268610,Online,Efectivo,USD,2023,9
227,2024-12-24,629,36,4,1206,1,22180,22180,Online,Tarjeta crédito,ARS,2024,12
228,2023-12-02,170,9,4,1274,5,83850,419250,Online,Cheque,ARS,2023,12
229,2024-12-02,485,21,1,1011,1,3917190,3917190,Mostrador,Tarjeta débito,USD,2024,12
230,2024-05-24,662,16,1,1047,2,110950,221900,Campo,Efectivo,ARS,2024,5
231,2024-11-05,295,59,2,1003,5,5951640,29758200,Campo,Cheque,USD,2024,11
232,2024-01-04,720,19,1,1130,4,417860,1671440,Mostrador,Tarjeta débito,ARS,2024,1
233,2024-03-25,381,9,4,1072,4,113070,452280,Teléfono,Cheque,ARS,2024,3
234,2023-12-30,283,28,2,1159,5,3841200,19206000,Mostrador,Tarjeta crédito,USD,2023,12
235,2023-08-03,332,46,4,1130,5,368020,1840100,Teléfono,Efectivo,USD,2023,8
236,2024-09-01,686,3,3,1022,1,5375620,5375620,Mostrador,Transferencia,USD,2024,9
237,2023-11-02,127,46,4,1135,4,389150,1556600,Mostrador,Transferencia,USD,2023,11
238,2023-01-27,156,14,1,1020,1,348550,348550,Mostrador,Tarjeta crédito,USD,2023,1
239,2024-06-09,180,57,4,1220,1,412250,412250,Campo,Efectivo,ARS,2024,6
240,2023-07-14,378,15,1,1103,1,169090,169090,Mostrador,Transferencia,ARS,2023,7
241,2024-12-15,914,7,2,1130,5,4688400,23442000,Online,Cheque,USD,2024,12
242,2024-12-19,87,47,1,1032,4,156070,624280,Online,Tarjeta crédito,USD,2024,12
243,2024-12-08,406,22,2,1090,3,375520,1126560,Online,Tarjeta débito,ARS,2024,12
244,2023-11-26,324,15,1,1259,1,290720,290720,Teléfono,Transferencia,USD,2023,11
245,2023-01-17,267,52,1,1298,1,6616930,6616930,Online,Transferencia,USD,2023,1
246,2024-12-12,594,57,4,1103,1,66940,66940,Teléfono,Tarjeta crédito,USD,2024,12
247,2023-12-12,64,52,1,1249,4,5113320,20453280,Teléfono,Tarjeta débito,USD,2023,12
248,2024-12-22,119,57,4,1173,4,3241190,12964760,Campo,Transferencia,USD,2024,12
249,2024-12-22,967,36,4,1047,1,126780,126780,Campo,Transferencia,USD,2024,12
250,2024-11-21,341,14,1,1197,1,42700,42700,Campo,Cheque,USD,2024,11
251,2023-11-05,313,40,4,1034,5,4432020,22160100,Campo,Cheque,ARS,2023,11
252,2023-11-30,163,52,1,1254,1,2715550,2715550,Campo,Efectivo,USD,2023,11
253,2024-11-21,505,14,1,1248,2,54200,108400,Campo,Tarjeta débito,ARS,2024,11
254,2023-11-11,293,15,1,1042,3,263980,791940,Campo,Efectivo,ARS,2023,11
255,2023-07-05,178,36,4,1289,5,2219520,11097600,Campo,Tarjeta débito,ARS,2023,7
256,2024-03-03,377,30,1,1123,1,140490,140490,Mostrador,Transferencia,ARS,2024,3
257,2024-12-14,542,60,3,1027,1,4372120,4372120,Campo,Tarjeta crédito,USD,2024,12
258,2024-08-03,401,45,2,1059,1,145750,145750,Online,Tarjeta débito,ARS,2024,8
259,2024-03-18,673,38,4,1147,3,189510,568530,Mostrador,Tarjeta débito,USD,2024,3
260,2023-04-17,400,47,1,1115,1,121250,121250,Online,Tarjeta débito,USD,2023,4
261,2024-05-06,399,1,4,1199,5,3539750,17698750,Mostrador,Efectivo,USD,2024,5
262,2024-12-29,909,4,4,1128,3,2165280,6495840,Mostrador,Tarjeta débito,ARS,2024,12
263,2023-06-03,3,38,4,1153,3,46080,138240,Campo,Tarjeta débito,ARS,2023,6
264,2024-01-21,24,40,4,1271,1,290780,290780,Online,Tarjeta crédito,ARS,2024,1
265,2024-11-28,919,13,4,1167,3,150540,451620,Teléfono,Tarjeta débito,ARS,2024,11
266,2024-09-21,59,35,1,1083,1,206390,206390,Campo,Transferencia,USD,2024,9
267,2024-08-04,749,59,2,1023,1,191470,191470,Mostrador,Tarjeta débito,USD,2024,8
268,2024-08-10,240,51,1,1011,1,118890,118890,Online,Tarjeta crédito,ARS,2024,8
269,2023-11-23,311,35,1,1187,1,296400,296400,Teléfono,Cheque,USD,2023,11
270,2023-11-05,321,56,2,1116,1,330540,330540,Teléfono,Transferencia,USD,2023,11
271,2024-11-09,672,47,1,1162,1,3313130,3313130,Online,Tarjeta crédito,USD,2024,11
272,2024-11-09,481,19,1,1103,3,3737150,11211450,Mostrador,Efectivo,USD,2024,11
273,2024-11-25,572,4,4,1243,1,52080,52080,Mostrador,Efectivo,USD,2024,11
274,2024-12-08,752,32,1,1007,1,247620,247620,Mostrador,Cheque,ARS,2024,12
275,2024-01-13,414,13,4,1172,4,228130,912520,Online,Transferencia,USD,2024,1
276,2024-01-03,322,22,2,1256,3,1732910,5198730,Mostrador,Tarjeta débito,USD,2024,1
277,2024-11-06,402,23,3,1247,1,6618570,6618570,Online,Tarjeta crédito,ARS,2024,11
278,2024-06-14,59,46,4,1192,1,171900,171900,Campo,Tarjeta crédito,USD,2024,6
279,2024-08-10,53,43,1,1114,1,4006550,4006550,Mostrador,Cheque,USD,2024,8
280,2024-11-05,64,2,1,1023,3,115820,347460,Online,Tarjeta crédito,ARS,2024,11
281,2024-12-01,633,16,1,1084,1,149200,149200,Teléfono,Cheque,USD,2024,12
282,2023-11-17,119,43,1,1276,3,369660,1108980,Teléfono,Tarjeta crédito,ARS,2023,11
283,2023-11-28,286,6,4,1136,2,133050,266100,Online,Tarjeta débito,ARS,2023,11
284,2023-04-14,18,40,4,1195,5,379480,1897400,Campo,Efectivo,USD,2023,4
285,2024-03-27,5,5,1,1258,4,4813870,19255480,Campo,Tarjeta crédito,ARS,2024,3
286,2023-02-09,325,43,1,1278,4,368730,1474920,Campo,Efectivo,ARS,2023,2
287,2023-12-22,392,43,1,1070,1,321740,321740,Online,Tarjeta crédito,USD,2023,12
288,2024-02-17,905,14,1,1036,1,2725540,2725540,Teléfono,Tarjeta débito,ARS,2024,2
289,2023-11-03,160,12,3,1108,5,383660,1918300,Teléfono,Transferencia,USD,2023,11
290,2024-04-10,888,51,1,1024,2,53140,106280,Teléfono,Transferencia,USD,2024,4
291,2023-02-03,142,55,2,1140,1,89400,89400,Campo,Cheque,USD,2023,2
292,2023-02-10,397,5,1,1022,5,36620,183100,Online,Tarjeta crédito,ARS,2023,2
